#ASSUNTO_DE;ASSUNTO_PARA;ASSUNTO_LOCAL;DESCRICAO
1666;2594;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Adicional
2569;1855;Não;DIREITO DO TRABALHO (864) / Responsabilidade Civil do Empregador (2567) / Indenização por Dano Moral
10188;10187;Não;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Agentes Políticos (10186) / Magistratura
10189;10187;Não;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Agentes Políticos (10186) / Magistratura
10190;10187;Não;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Agentes Políticos (10186) / Magistratura
10191;10187;Não;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Agentes Políticos (10186) / Magistratura
10192;10187;Não;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Agentes Políticos (10186) / Magistratura
10653;8829;Não;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Jurisdição e Competência (8828) / Competência
10654;8829;Não;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Jurisdição e Competência (8828) / Competência
10657;8874;Não;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Partes e Procuradores (8842) / Sucumbência
10680;10672;Não;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Precatório
10860;10573;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Prisão Civil
10861;10573;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Prisão Civil
10901;8829;Não;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Jurisdição e Competência (8828) / Competência
55000;10187;Não;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Agentes Políticos (10186) / Magistratura
55001;10187;Não;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Agentes Políticos (10186) / Magistratura
55007;4435;Sim;DIREITO DO TRABALHO (864) / Direito Coletivo (1695) / Norma Coletiva - Aplicabilidade / Cumprimento
55011;2624;Sim;DIREITO DO TRABALHO (864) / Aposentadoria e Pensão (2622) / Complementação de Aposentadoria / Pensão
55012;2624;Sim;DIREITO DO TRABALHO (864) / Aposentadoria e Pensão (2622) / Complementação de Aposentadoria / Pensão
55013;2624;Sim;DIREITO DO TRABALHO (864) / Aposentadoria e Pensão (2622) / Complementação de Aposentadoria / Pensão
55014;2624;Sim;DIREITO DO TRABALHO (864) / Aposentadoria e Pensão (2622) / Complementação de Aposentadoria / Pensão
55015;2624;Sim;DIREITO DO TRABALHO (864) / Aposentadoria e Pensão (2622) / Complementação de Aposentadoria / Pensão
55016;2624;Sim;DIREITO DO TRABALHO (864) / Aposentadoria e Pensão (2622) / Complementação de Aposentadoria / Pensão
55017;2624;Sim;DIREITO DO TRABALHO (864) / Aposentadoria e Pensão (2622) / Complementação de Aposentadoria / Pensão
55018;2624;Sim;DIREITO DO TRABALHO (864) / Aposentadoria e Pensão (2622) / Complementação de Aposentadoria / Pensão
55019;2624;Sim;DIREITO DO TRABALHO (864) / Aposentadoria e Pensão (2622) / Complementação de Aposentadoria / Pensão
55020;2624;Sim;DIREITO DO TRABALHO (864) / Aposentadoria e Pensão (2622) / Complementação de Aposentadoria / Pensão
55022;5276;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Advogados
55023;5276;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Advogados
55025;5280;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Bancários
55026;5280;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Bancários
55027;5280;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Bancários
55028;5280;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Bancários
55029;5280;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Bancários
55030;5280;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Bancários
55038;5288;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Digitadores / Mecanógrafos / Datilógrafos
55042;5284;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Engenheiro, Arquiteto e Engenheiro Agrônomo
55051;5297;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Serviços de Telefonia ouTelegrafia
55089;4452;Sim;DIREITO DO TRABALHO (864) / Direito Coletivo (1695) / Representação Sindical
55090;4452;Sim;DIREITO DO TRABALHO (864) / Direito Coletivo (1695) / Representação Sindical
55114;2019;Sim;DIREITO DO TRABALHO (864) / Férias (2662) / Fruição / Gozo
55124;2583;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Abono
55126;2583;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Abono
55127;2583;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Abono
55128;2583;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Abono
55129;2583;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Abono
55130;2594;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Adicional
55131;2594;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Adicional
55134;2594;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Adicional
55135;2594;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Adicional
55136;1681;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Adicional (2594) / Adicional de Periculosidade
55138;1681;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Adicional (2594) / Adicional de Periculosidade
55139;1681;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Adicional (2594) / Adicional de Periculosidade
55140;1681;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Adicional (2594) / Adicional de Periculosidade
55142;2594;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Adicional
55143;2594;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Adicional
55144;2594;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Adicional
55145;2594;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Adicional
55146;2594;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Adicional
55147;2594;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Adicional
55151;1888;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Descontos Salariais - Devolução
55152;1888;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Descontos Salariais - Devolução
55153;1888;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Descontos Salariais - Devolução
55154;1888;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Descontos Salariais - Devolução
55155;1888;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Descontos Salariais - Devolução
55156;1888;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Descontos Salariais - Devolução
55157;1888;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Descontos Salariais - Devolução
55158;1920;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Diárias
55160;2055;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Gratificação
55161;2055;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Gratificação
55162;2055;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Gratificação
55163;2055;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Gratificação
55164;2055;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Gratificação
55165;2055;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Gratificação
55166;2055;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Gratificação
55167;2055;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Gratificação
55168;2055;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Gratificação
55171;2331;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Prêmio
55173;4442;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Restituição / Indenização de Despesa
55174;4442;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Restituição / Indenização de Despesa
55175;4442;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Restituição / Indenização de Despesa
55176;2458;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Salário / Diferença Salarial
55177;2458;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Salário / Diferença Salarial
55178;2458;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Salário / Diferença Salarial
55179;2458;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Salário / Diferença Salarial
55180;2458;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Salário / Diferença Salarial
55181;2458;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Salário / Diferença Salarial
55182;2458;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Salário / Diferença Salarial
55183;2458;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Salário / Diferença Salarial
55184;2458;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Salário / Diferença Salarial
55185;2458;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Salário / Diferença Salarial
55186;2458;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Salário / Diferença Salarial
55188;2458;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Salário / Diferença Salarial
55189;2458;Não;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Salário / Diferença Salarial
55191;2697;Sim;DIREITO DO TRABALHO (864) / Remuneração, Verbas Indenizatórias e Benefícios (2581) / Salário / Diferença Salarial (2458) / Salário por Equiparação / Isonomia
55193;1904;Sim;DIREITO DO TRABALHO (864) / Rescisão do Contrato de Trabalho (2620) / Despedida / Dispensa Imotivada
55194;1904;Sim;DIREITO DO TRABALHO (864) / Rescisão do Contrato de Trabalho (2620) / Despedida / Dispensa Imotivada
55200;1907;Sim;DIREITO DO TRABALHO (864) / Rescisão do Contrato de Trabalho (2620) / Justa Causa / Falta Grave
55203;2243;Sim;DIREITO DO TRABALHO (864) / Rescisão do Contrato de Trabalho (2620) / Plano de Demissão Voluntária / Incentivada
55205;2656;Não;DIREITO DO TRABALHO (864) / Rescisão do Contrato de Trabalho (2620) / Reintegração / Readmissão ou Indenização
55206;2656;Não;DIREITO DO TRABALHO (864) / Rescisão do Contrato de Trabalho (2620) / Reintegração / Readmissão ou Indenização
55207;2656;Não;DIREITO DO TRABALHO (864) / Rescisão do Contrato de Trabalho (2620) / Reintegração / Readmissão ou Indenização
55208;1998;Sim;DIREITO DO TRABALHO (864) / Rescisão do Contrato de Trabalho (2620) / Verbas Rescisórias (2546) / Multa de 40% do FGTS
55210;8808;Não;DIREITO DO TRABALHO (864) / Responsabilidade Civil do Empregador (2567) / Indenização por Dano Material
55211;8808;Não;DIREITO DO TRABALHO (864) / Responsabilidade Civil do Empregador (2567) / Indenização por Dano Material
55212;8808;Não;DIREITO DO TRABALHO (864) / Responsabilidade Civil do Empregador (2567) / Indenização por Dano Material
55213;1855;Não;DIREITO DO TRABALHO (864) / Responsabilidade Civil do Empregador (2567) / Indenização por Dano Moral
55214;1855;Não;DIREITO DO TRABALHO (864) / Responsabilidade Civil do Empregador (2567) / Indenização por Dano Moral
55215;1855;Não;DIREITO DO TRABALHO (864) / Responsabilidade Civil do Empregador (2567) / Indenização por Dano Moral
55217;2704;Sim;DIREITO DO TRABALHO (864) / Responsabilidade Solidária / Subsidiária (1937) / Tomador de Serviços / Terceirização
55226;8859;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Partes e Procuradores (8842) / Intervenção de Terceiros
55228;10655;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Partes e Procuradores (8842) / Sucumbência (8874) / Honorários Advocatícios
55240;8919;Não;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Atos Processuais (8893) / Nulidade
55241;8919;Não;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Atos Processuais (8893) / Nulidade
55242;8919;Não;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Atos Processuais (8893) / Nulidade
55243;8919;Não;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Atos Processuais (8893) / Nulidade
55245;8939;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Formação, Suspensão e Extinção do Processo (8938) / Suspensão do Processo
55257;8829;Não;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Jurisdição e Competência (8828) / Competência
55258;8829;Não;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Jurisdição e Competência (8828) / Competência
55259;8829;Não;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Jurisdição e Competência (8828) / Competência
55260;8829;Não;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Jurisdição e Competência (8828) / Competência
55265;9163;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Constrição / Penhora / Avaliação / Indisponibilidade de Bens
55266;9163;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Constrição / Penhora / Avaliação / Indisponibilidade de Bens
55267;9163;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Constrição / Penhora / Avaliação / Indisponibilidade de Bens
55268;9163;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Constrição / Penhora / Avaliação / Indisponibilidade de Bens
55269;9163;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Constrição / Penhora / Avaliação / Indisponibilidade de Bens
55270;9163;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Constrição / Penhora / Avaliação / Indisponibilidade de Bens
55271;9163;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Constrição / Penhora / Avaliação / Indisponibilidade de Bens
55272;9163;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Constrição / Penhora / Avaliação / Indisponibilidade de Bens
55273;9163;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Constrição / Penhora / Avaliação / Indisponibilidade de Bens
55274;9163;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Constrição / Penhora / Avaliação / Indisponibilidade de Bens
55275;9163;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Constrição / Penhora / Avaliação / Indisponibilidade de Bens
55276;9163;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Constrição / Penhora / Avaliação / Indisponibilidade de Bens
55279;9180;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Expropriação de Bens
55280;9180;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Expropriação de Bens
55286;9149;Não;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Valor da Execução / Cálculo / Atualização
55287;9149;Não;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Liquidação / Cumprimento / Execução (9148) / Valor da Execução / Cálculo / Atualização
55289;8888;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Órgãos Judiciários e Auxiliares da Justiça (8883) / Dos Auxiliares da Justiça
55290;8888;Sim;DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) / Órgãos Judiciários e Auxiliares da Justiça (8883) / Dos Auxiliares da Justiça
55312;5280;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Bancários
55314;2624;Sim;DIREITO DO TRABALHO (864) / Aposentadoria e Pensão (2622) / Complementação de Aposentadoria / Pensão
55315;2624;Sim;DIREITO DO TRABALHO (864) / Aposentadoria e Pensão (2622) / Complementação de Aposentadoria / Pensão
55316;5280;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Bancários
55317;5280;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Bancários
55318;5280;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Bancários
55319;5280;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Bancários
55320;5280;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Bancários
55321;5280;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Bancários
55325;5294;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Professores
55326;5294;Sim;DIREITO DO TRABALHO (864) / Categoria Profissional Especial (7644) / Professores
